R1-C6-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 1542223
R1-C5-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 186494
R1-C5-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 138073
R1-C4-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 105339
R1-C3-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 105289
R1-C4-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 102217
R1-C4-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 73240
R2-C7-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 61520
R1-C6-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 61064
R2-C9-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 58818
R1-C4-N1-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 54554
R1-C4-N0-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR1 53227
R2-C8-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 52003
R1-C4-N0-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 50327
R2-C8-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 46307
R1-C3-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 46160
R1-C3-N1-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR1 45448
R1-C2-N3-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 44703
R2-C6-N3-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 37565
R1-C3-N1-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 36164
R2-C5-N4-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 32505
R2-C10-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 31347
R1-C2-N2-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 28636
R1-C4-N0-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 28157
R2-C8-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 25124
R1-C5-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 24245
R2-C9-N0-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 21002
R1-C5-N0-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 20947
R2-C9-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 20095
R2-C7-N1-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR2 20052
R1-C4-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 19664
R1-C3-N2-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 19592
R2-C7-N0-O2-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 17775
R1-C2-N2-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR1 16296
R1-C1-N4-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 16034
R1-C3-N1-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 11489
R2-C6-N2-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR2 11355
R2-C8-N0-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 10666
R2-C10-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 10425
R2-C7-N1-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR2 10290
R1-C3-N1-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 9383
R2-C9-N0-O1-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 9370
R1-C4-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR0 8665
R1-C3-N1-O0-F0-P0-S1-Cl0-Br0-I0-Bes0-AR0 8514
R2-C8-N0-O2-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 8466
R1-C3-N3-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 8344
R2-C9-N0-O0-F0-P0-S0-Cl0-Br0-I0-Bes0-AR1 7895
